# Huayan Robotics HR_S50-2000 Point-to-Point Trajectory
# Generated: 2026-02-01
# Contact: yuesj@huayan-robotics.com
# Website: https://www.huayan-robotics.com
#
# Start (deg): 0.00, -90.00, 90.00, 0.00, -90.00, 0.00
# Goal (deg): 45.00, -60.00, 60.00, 30.00, -60.00, 45.00
# Total time: 25.46 s
# Sample rate: 250.00 Hz
# Points: 6366
#
# Units: time(s), position(deg), velocity(deg/s), acceleration(deg/s^2)
#
time,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_acc,j2_acc,j3_acc,j4_acc,j5_acc,j6_acc
0.040000,0.0111,-89.9926,89.9926,0.0074,-89.9926,0.0111,0.7932,0.5288,-0.5288,0.5288,0.5288,0.7932,35.5075,23.6717,-23.6717,23.6717,23.6717,35.5075
0.044000,0.0146,-89.9903,89.9903,0.0097,-89.9903,0.0146,0.9397,0.6265,-0.6265,0.6265,0.6265,0.9397,37.7460,25.1640,-25.1640,25.1640,25.1640,37.7460
0.048000,0.0187,-89.9876,89.9876,0.0124,-89.9876,0.0187,1.0948,0.7299,-0.7299,0.7299,0.7299,1.0948,39.7667,26.5111,-26.5111,26.5111,26.5111,39.7667
0.052000,0.0234,-89.9844,89.9844,0.0156,-89.9844,0.0234,1.2576,0.8384,-0.8384,0.8384,0.8384,1.2576,41.5749,27.7166,-27.7166,27.7166,27.7166,41.5749
0.056000,0.0287,-89.9808,89.9808,0.0192,-89.9808,0.0287,1.4272,0.9514,-0.9514,0.9514,0.9514,1.4272,43.1758,28.7838,-28.7838,28.7838,28.7838,43.1758
0.060000,0.0348,-89.9768,89.9768,0.0232,-89.9768,0.0348,1.6027,1.0685,-1.0685,1.0685,1.0685,1.6027,44.5745,29.7163,-29.7163,29.7163,29.7163,44.5745
0.064000,0.0416,-89.9723,89.9723,0.0277,-89.9723,0.0416,1.7835,1.1890,-1.1890,1.1890,1.1890,1.7835,45.7764,30.5176,-30.5176,30.5176,30.5176,45.7764
0.068000,0.0491,-89.9673,89.9673,0.0327,-89.9673,0.0491,1.9687,1.3125,-1.3125,1.3125,1.3125,1.9687,46.7866,31.1910,-31.1910,31.1910,31.1910,46.7866
0.072000,0.0573,-89.9618,89.9618,0.0382,-89.9618,0.0573,2.1575,1.4384,-1.4384,1.4384,1.4384,2.1575,47.6103,31.7402,-31.7402,31.7402,31.7402,47.6103
0.076000,0.0663,-89.9558,89.9558,0.0442,-89.9558,0.0663,2.3493,1.5662,-1.5662,1.5662,1.5662,2.3493,48.2527,32.1685,-32.1685,32.1685,32.1685,48.2527
0.080000,0.0761,-89.9493,89.9493,0.0507,-89.9493,0.0761,2.5433,1.6956,-1.6956,1.6956,1.6956,2.5433,48.7191,32.4794,-32.4794,32.4794,32.4794,48.7191
0.084000,0.0867,-89.9422,89.9422,0.0578,-89.9422,0.0867,2.7389,1.8259,-1.8259,1.8259,1.8259,2.7389,49.0147,32.6765,-32.6765,32.6765,32.6765,49.0147
0.088000,0.0980,-89.9346,89.9346,0.0654,-89.9346,0.0980,2.9352,1.9568,-1.9568,1.9568,1.9568,2.9352,49.1446,32.7631,-32.7631,32.7631,32.7631,49.1446
0.092000,0.1102,-89.9266,89.9266,0.0734,-89.9266,0.1102,3.1318,2.0879,-2.0879,2.0879,2.0879,3.1318,49.1141,32.7428,-32.7428,32.7428,32.7428,49.1141
0.096000,0.1231,-89.9179,89.9179,0.0821,-89.9179,0.1231,3.3279,2.2186,-2.2186,2.2186,2.2186,3.3279,48.9285,32.6190,-32.6190,32.6190,32.6190,48.9285
0.100000,0.1368,-89.9088,89.9088,0.0912,-89.9088,0.1368,3.5230,2.3487,-2.3487,2.3487,2.3487,3.5230,48.5928,32.3952,-32.3952,32.3952,32.3952,48.5928
0.104000,0.1513,-89.8992,89.8992,0.1008,-89.8992,0.1513,3.7165,2.4777,-2.4777,2.4777,2.4777,3.7165,48.1124,32.0749,-32.0749,32.0749,32.0749,48.1124
0.108000,0.1665,-89.8890,89.8890,0.1110,-89.8890,0.1665,3.9077,2.6052,-2.6052,2.6052,2.6052,3.9077,47.4924,31.6616,-31.6616,31.6616,31.6616,47.4924
0.112000,0.1825,-89.8783,89.8783,0.1217,-89.8783,0.1825,4.0962,2.7308,-2.7308,2.7308,2.7308,4.0962,46.7380,31.1587,-31.1587,31.1587,31.1587,46.7380
0.116000,0.1993,-89.8671,89.8671,0.1329,-89.8671,0.1993,4.2815,2.8543,-2.8543,2.8543,2.8543,4.2815,45.8545,30.5697,-30.5697,30.5697,30.5697,45.8545
0.120000,0.2168,-89.8555,89.8555,0.1445,-89.8555,0.2168,4.4629,2.9753,-2.9753,2.9753,2.9753,4.4629,44.8471,29.8981,-29.8981,29.8981,29.8981,44.8471
0.124000,0.2350,-89.8433,89.8433,0.1567,-89.8433,0.2350,4.6401,3.0934,-3.0934,3.0934,3.0934,4.6401,43.7209,29.1473,-29.1473,29.1473,29.1473,43.7209
0.128000,0.2539,-89.8307,89.8307,0.1693,-89.8307,0.2539,4.8125,3.2084,-3.2084,3.2084,3.2084,4.8125,42.4813,28.3209,-28.3209,28.3209,28.3209,42.4813
0.132000,0.2735,-89.8177,89.8177,0.1823,-89.8177,0.2735,4.9798,3.3199,-3.3199,3.3199,3.3199,4.9798,41.1334,27.4222,-27.4222,27.4222,27.4222,41.1334
0.136000,0.2937,-89.8042,89.8042,0.1958,-89.8042,0.2937,5.1415,3.4276,-3.4276,3.4276,3.4276,5.1415,39.6823,26.4549,-26.4549,26.4549,26.4549,39.6823
0.140000,0.3146,-89.7903,89.7903,0.2097,-89.7903,0.3146,5.2971,3.5314,-3.5314,3.5314,3.5314,5.2971,38.1335,25.4223,-25.4223,25.4223,25.4223,38.1335
0.144000,0.3361,-89.7759,89.7759,0.2241,-89.7759,0.3361,5.4464,3.6309,-3.6309,3.6309,3.6309,5.4464,36.4919,24.3279,-24.3279,24.3279,24.3279,36.4919
0.148000,0.3582,-89.7612,89.7612,0.2388,-89.7612,0.3582,5.5889,3.7260,-3.7260,3.7260,3.7260,5.5889,34.7629,23.1753,-23.1753,23.1753,23.1753,34.7629
0.152000,0.3808,-89.7461,89.7461,0.2539,-89.7461,0.3808,5.7244,3.8163,-3.8163,3.8163,3.8163,5.7244,32.9517,21.9678,-21.9678,21.9678,21.9678,32.9517
0.156000,0.4039,-89.7307,89.7307,0.2693,-89.7307,0.4039,5.8525,3.9016,-3.9016,3.9016,3.9016,5.8525,31.0635,20.7090,-20.7090,20.7090,20.7090,31.0635
0.160000,0.4276,-89.7149,89.7149,0.2851,-89.7149,0.4276,5.9728,3.9819,-3.9819,3.9819,3.9819,5.9728,29.1035,19.4023,-19.4023,19.4023,19.4023,29.1035
0.164000,0.4517,-89.6989,89.6989,0.3011,-89.6989,0.4517,6.0852,4.0568,-4.0568,4.0568,4.0568,6.0852,27.0768,18.0512,-18.0512,18.0512,18.0512,27.0768
0.168000,0.4763,-89.6825,89.6825,0.3175,-89.6825,0.4763,6.1893,4.1262,-4.1262,4.1262,4.1262,6.1893,24.9888,16.6592,-16.6592,16.6592,16.6592,24.9888
0.172000,0.5012,-89.6659,89.6659,0.3341,-89.6659,0.5012,6.2850,4.1900,-4.1900,4.1900,4.1900,6.2850,22.8446,15.2298,-15.2298,15.2298,15.2298,22.8446
0.176000,0.5265,-89.6490,89.6490,0.3510,-89.6490,0.5265,6.3720,4.2480,-4.2480,4.2480,4.2480,6.3720,20.6495,13.7663,-13.7663,13.7663,13.7663,20.6495
0.180000,0.5522,-89.6319,89.6319,0.3681,-89.6319,0.5522,6.4502,4.3001,-4.3001,4.3001,4.3001,6.4502,18.4086,12.2724,-12.2724,12.2724,12.2724,18.4086
0.184000,0.5781,-89.6146,89.6146,0.3854,-89.6146,0.5781,6.5192,4.3462,-4.3462,4.3462,4.3462,6.5192,16.1272,10.7515,-10.7515,10.7515,10.7515,16.1272
0.188000,0.6043,-89.5971,89.5971,0.4029,-89.5971,0.6043,6.5791,4.3861,-4.3861,4.3861,4.3861,6.5791,13.8105,9.2070,-9.2070,9.2070,9.2070,13.8105
0.192000,0.6307,-89.5795,89.5795,0.4205,-89.5795,0.6307,6.6297,4.4198,-4.4198,4.4198,4.4198,6.6297,11.4636,7.6424,-7.6424,7.6424,7.6424,11.4636
0.196000,0.6574,-89.5618,89.5618,0.4382,-89.5618,0.6574,6.6708,4.4472,-4.4472,4.4472,4.4472,6.6708,9.0919,6.0612,-6.0612,6.0612,6.0612,9.0919
0.200000,0.6841,-89.5439,89.5439,0.4561,-89.5439,0.6841,6.7024,4.4683,-4.4683,4.4683,4.4683,6.7024,6.7004,4.4669,-4.4669,4.4669,4.4669,6.7004
0.204000,0.7110,-89.5260,89.5260,0.4740,-89.5260,0.7110,6.7244,4.4829,-4.4829,4.4829,4.4829,6.7244,4.2945,2.8630,-2.8630,2.8630,2.8630,4.2945
0.208000,0.7379,-89.5081,89.5081,0.4919,-89.5081,0.7379,6.7367,4.4912,-4.4912,4.4912,4.4912,6.7367,1.8794,1.2529,-1.2529,1.2529,1.2529,1.8794
0.212000,0.7648,-89.4901,89.4901,0.5099,-89.4901,0.7648,6.7394,4.4929,-4.4929,4.4929,4.4929,6.7394,-0.5399,-0.3599,0.3599,-0.3599,-0.3599,-0.5399
0.216000,0.7918,-89.4721,89.4721,0.5279,-89.4721,0.7918,6.7324,4.4883,-4.4883,4.4883,4.4883,6.7324,-2.9579,-1.9719,1.9719,-1.9719,-1.9719,-2.9579
0.220000,0.8187,-89.4542,89.4542,0.5458,-89.4542,0.8187,6.7158,4.4772,-4.4772,4.4772,4.4772,6.7158,-5.3696,-3.5797,3.5797,-3.5797,-3.5797,-5.3696
0.224000,0.8455,-89.4363,89.4363,0.5637,-89.4363,0.8455,6.6895,4.4596,-4.4596,4.4596,4.4596,6.6895,-7.7697,-5.1798,5.1798,-5.1798,-5.1798,-7.7697
0.228000,0.8722,-89.4185,89.4185,0.5815,-89.4185,0.8722,6.6536,4.4357,-4.4357,4.4357,4.4357,6.6536,-10.1530,-6.7686,6.7686,-6.7686,-6.7686,-10.1530
0.232000,0.8987,-89.4009,89.4009,0.5991,-89.4009,0.8987,6.6083,4.4055,-4.4055,4.4055,4.4055,6.6083,-12.5142,-8.3428,8.3428,-8.3428,-8.3428,-12.5142
0.236000,0.9250,-89.3833,89.3833,0.6167,-89.3833,0.9250,6.5535,4.3690,-4.3690,4.3690,4.3690,6.5535,-14.8483,-9.8989,9.8989,-9.8989,-9.8989,-14.8483
0.240000,0.9511,-89.3659,89.3659,0.6341,-89.3659,0.9511,6.4895,4.3264,-4.3264,4.3264,4.3264,6.4895,-17.1499,-11.4333,11.4333,-11.4333,-11.4333,-17.1499
0.244000,0.9769,-89.3487,89.3487,0.6513,-89.3487,0.9769,6.4164,4.2776,-4.2776,4.2776,4.2776,6.4164,-19.4139,-12.9426,12.9426,-12.9426,-12.9426,-19.4139
0.248000,1.0025,-89.3317,89.3317,0.6683,-89.3317,1.0025,6.3343,4.2229,-4.2229,4.2229,4.2229,6.3343,-21.6350,-14.4233,14.4233,-14.4233,-14.4233,-21.6350
0.252000,1.0276,-89.3149,89.3149,0.6851,-89.3149,1.0276,6.2434,4.1623,-4.1623,4.1623,4.1623,6.2434,-23.8080,-15.8720,15.8720,-15.8720,-15.8720,-23.8080
0.256000,1.0524,-89.2984,89.2984,0.7016,-89.2984,1.0524,6.1439,4.0959,-4.0959,4.0959,4.0959,6.1439,-25.9278,-17.2852,17.2852,-17.2852,-17.2852,-25.9278
0.260000,1.0768,-89.2822,89.2822,0.7178,-89.2822,1.0768,6.0360,4.0240,-4.0240,4.0240,4.0240,6.0360,-27.9890,-18.6593,18.6593,-18.6593,-18.6593,-27.9890
0.264000,1.1007,-89.2662,89.2662,0.7338,-89.2662,1.1007,5.9201,3.9467,-3.9467,3.9467,3.9467,5.9201,-29.9866,-19.9910,19.9910,-19.9910,-19.9910,-29.9866
0.268000,1.1241,-89.2506,89.2506,0.7494,-89.2506,1.1241,5.7962,3.8642,-3.8642,3.8642,3.8642,5.7962,-31.9152,-21.2768,21.2768,-21.2768,-21.2768,-31.9152
0.272000,1.1470,-89.2353,89.2353,0.7647,-89.2353,1.1470,5.6648,3.7766,-3.7766,3.7766,3.7766,5.6648,-33.7697,-22.5131,22.5131,-22.5131,-22.5131,-33.7697
0.276000,1.1694,-89.2204,89.2204,0.7796,-89.2204,1.1694,5.5262,3.6841,-3.6841,3.6841,3.6841,5.5262,-35.5448,-23.6965,23.6965,-23.6965,-23.6965,-35.5448
0.280000,1.1912,-89.2059,89.2059,0.7941,-89.2059,1.1912,5.3806,3.5871,-3.5871,3.5871,3.5871,5.3806,-37.2354,-24.8236,24.8236,-24.8236,-24.8236,-37.2354
0.284000,1.2124,-89.1917,89.1917,0.8083,-89.1917,1.2124,5.2284,3.4856,-3.4856,3.4856,3.4856,5.2284,-38.8362,-25.8908,25.8908,-25.8908,-25.8908,-38.8362
0.288000,1.2330,-89.1780,89.1780,0.8220,-89.1780,1.2330,5.0700,3.3800,-3.3800,3.3800,3.3800,5.0700,-40.3421,-26.8947,26.8947,-26.8947,-26.8947,-40.3421
0.292000,1.2530,-89.1647,89.1647,0.8353,-89.1647,1.2530,4.9058,3.2705,-3.2705,3.2705,3.2705,4.9058,-41.7477,-27.8318,27.8318,-27.8318,-27.8318,-41.7477
0.296000,1.2723,-89.1518,89.1518,0.8482,-89.1518,1.2723,4.7362,3.1575,-3.1575,3.1575,3.1575,4.7362,-43.0479,-28.6986,28.6986,-28.6986,-28.6986,-43.0479
0.300000,1.2909,-89.1394,89.1394,0.8606,-89.1394,1.2909,4.5616,3.0410,-3.0410,3.0410,3.0410,4.5616,-44.2375,-29.4917,29.4917,-29.4917,-29.4917,-44.2375
0.304000,1.3088,-89.1275,89.1275,0.8725,-89.1275,1.3088,4.3824,2.9216,-2.9216,2.9216,2.9216,4.3824,-45.3113,-30.2076,30.2076,-30.2076,-30.2076,-45.3113
0.308000,1.3259,-89.1160,89.1160,0.8840,-89.1160,1.3259,4.1992,2.7995,-2.7995,2.7995,2.7995,4.1992,-46.2641,-30.8427,30.8427,-30.8427,-30.8427,-46.2641
0.312000,1.3424,-89.1051,89.1051,0.8949,-89.1051,1.3424,4.0125,2.6750,-2.6750,2.6750,2.6750,4.0125,-47.0906,-31.3937,31.3937,-31.3937,-31.3937,-47.0906
0.316000,1.3580,-89.0946,89.0946,0.9054,-89.0946,1.3580,3.8227,2.5485,-2.5485,2.5485,2.5485,3.8227,-47.7856,-31.8571,31.8571,-31.8571,-31.8571,-47.7856
0.320000,1.3729,-89.0847,89.0847,0.9153,-89.0847,1.3729,3.6304,2.4203,-2.4203,2.4203,2.4203,3.6304,-48.3439,-32.2293,32.2293,-32.2293,-32.2293,-48.3439
0.324000,1.3871,-89.0753,89.0753,0.9247,-89.0753,1.3871,3.4361,2.2908,-2.2908,2.2908,2.2908,3.4361,-48.7604,-32.5069,32.5069,-32.5069,-32.5069,-48.7604
0.328000,1.4004,-89.0664,89.0664,0.9336,-89.0664,1.4004,3.2405,2.1603,-2.1603,2.1603,2.1603,3.2405,-49.0297,-32.6865,32.6865,-32.6865,-32.6865,-49.0297
0.332000,1.4130,-89.0580,89.0580,0.9420,-89.0580,1.4130,3.0441,2.0294,-2.0294,2.0294,2.0294,3.0441,-49.1468,-32.7645,32.7645,-32.7645,-32.7645,-49.1468
0.336000,1.4248,-89.0501,89.0501,0.9499,-89.0501,1.4248,2.8475,1.8984,-1.8984,1.8984,1.8984,2.8475,-49.1063,-32.7375,32.7375,-32.7375,-32.7375,-49.1063
0.340000,1.4358,-89.0428,89.0428,0.9572,-89.0428,1.4358,2.6515,1.7676,-1.7676,1.7676,1.7676,2.6515,-48.9030,-32.6020,32.6020,-32.6020,-32.6020,-48.9030
0.344000,1.4460,-89.0360,89.0360,0.9640,-89.0360,1.4460,2.4565,1.6377,-1.6377,1.6377,1.6377,2.4565,-48.5318,-32.3546,32.3546,-32.3546,-32.3546,-48.5318
0.348000,1.4554,-89.0297,89.0297,0.9703,-89.0297,1.4554,2.2634,1.5090,-1.5090,1.5090,1.5090,2.2634,-47.9875,-31.9917,31.9917,-31.9917,-31.9917,-47.9875
0.352000,1.4641,-89.0239,89.0239,0.9761,-89.0239,1.4641,2.0729,1.3819,-1.3819,1.3819,1.3819,2.0729,-47.2648,-31.5098,31.5098,-31.5098,-31.5098,-47.2648
0.356000,1.4720,-89.0187,89.0187,0.9813,-89.0187,1.4720,1.8856,1.2570,-1.2570,1.2570,1.2570,1.8856,-46.3585,-30.9056,30.9056,-30.9056,-30.9056,-46.3585
0.360000,1.4792,-89.0139,89.0139,0.9861,-89.0139,1.4792,1.7023,1.1348,-1.1348,1.1348,1.1348,1.7023,-45.2633,-30.1756,30.1756,-30.1756,-30.1756,-45.2633
0.364000,1.4856,-89.0096,89.0096,0.9904,-89.0096,1.4856,1.5237,1.0158,-1.0158,1.0158,1.0158,1.5237,-43.9742,-29.3161,29.3161,-29.3161,-29.3161,-43.9742
0.368000,1.4914,-89.0057,89.0057,0.9943,-89.0057,1.4914,1.3507,0.9005,-0.9005,0.9005,0.9005,1.3507,-42.4859,-28.3239,28.3239,-28.3239,-28.3239,-42.4859
0.372000,1.4965,-89.0024,89.0024,0.9976,-89.0024,1.4965,1.1841,0.7894,-0.7894,0.7894,0.7894,1.1841,-40.7931,-27.1954,27.1954,-27.1954,-27.1954,-40.7931
0.376000,1.5009,-88.9994,88.9994,1.0006,-88.9994,1.5009,1.0247,0.6831,-0.6831,0.6831,0.6831,1.0247,-38.8906,-25.9271,25.9271,-25.9271,-25.9271,-38.8906
0.380000,1.5047,-88.9969,88.9969,1.0031,-88.9969,1.5047,0.8733,0.5822,-0.5822,0.5822,0.5822,0.8733,-36.7733,-24.5156,24.5156,-24.5156,-24.5156,-36.7733
0.384000,1.5079,-88.9948,88.9948,1.0052,-88.9948,1.5079,0.7308,0.4872,-0.4872,0.4872,0.4872,0.7308,-34.4360,-22.9573,22.9573,-22.9573,-22.9573,-34.4360
0.388000,1.5105,-88.9930,88.9930,1.0070,-88.9930,1.5105,0.5981,0.3987,-0.3987,0.3987,0.3987,0.5981,-31.8733,-21.2489,21.2489,-21.2489,-21.2489,-31.8733
0.392000,1.5127,-88.9916,88.9916,1.0084,-88.9916,1.5127,0.4761,0.3174,-0.3174,0.3174,0.3174,0.4761,-29.0802,-19.3868,19.3868,-19.3868,-19.3868,-29.0802
0.396000,1.5143,-88.9904,88.9904,1.0096,-88.9904,1.5143,0.3658,0.2438,-0.2438,0.2438,0.2438,0.3658,-26.0513,-17.3675,17.3675,-17.3675,-17.3675,-26.0513
0.400000,1.5156,-88.9896,88.9896,1.0104,-88.9896,1.5156,0.2680,0.1787,-0.1787,0.1787,0.1787,0.2680,-22.7815,-15.1877,15.1877,-15.1877,-15.1877,-22.7815
0.404000,1.5165,-88.9890,88.9890,1.0110,-88.9890,1.5165,0.1838,0.1226,-0.1226,0.1226,0.1226,0.1838,-19.2656,-12.8437,12.8437,-12.8437,-12.8437,-19.2656
0.408000,1.5171,-88.9886,88.9886,1.0114,-88.9886,1.5171,0.1142,0.0761,-0.0761,0.0761,0.0761,0.1142,-15.4983,-10.3322,10.3322,-10.3322,-10.3322,-15.4983
0.412000,1.5174,-88.9884,88.9884,1.0116,-88.9884,1.5174,0.0602,0.0401,-0.0401,0.0401,0.0401,0.0602,-11.4745,-7.6497,7.6497,-7.6497,-7.6497,-11.4745
0.416000,1.5176,-88.9883,88.9883,1.0117,-88.9883,1.5176,0.0228,0.0152,-0.0152,0.0152,0.0152,0.0228,-7.1889,-4.7926,4.7926,-4.7926,-4.7926,-7.1889
0.420000,1.5176,-88.9882,88.9882,1.0118,-88.9882,1.5176,0.0030,0.0020,-0.0020,0.0020,0.0020,0.0030,-2.6363,-1.7576,1.7576,-1.7576,-1.7576,-2.6363
0.424000,1.5177,-88.9882,88.9882,1.0118,-88.9882,1.5177,0.0020,0.0013,-0.0013,0.0013,0.0013,0.0020,2.1288,1.4192,-1.4192,1.4192,1.4192,2.1288
0.428000,1.5177,-88.9882,88.9882,1.0118,-88.9882,1.5177,0.0198,0.0132,-0.0132,0.0132,0.0132,0.0198,6.6914,4.4609,-4.4609,4.4609,4.4609,6.6914
0.432000,1.5178,-88.9881,88.9881,1.0119,-88.9881,1.5178,0.0552,0.0368,-0.0368,0.0368,0.0368,0.0552,10.9662,7.3108,-7.3108,7.3108,7.3108,10.9662
0.436000,1.5182,-88.9879,88.9879,1.0121,-88.9879,1.5182,0.1071,0.0714,-0.0714,0.0714,0.0714,0.1071,14.9595,9.9730,-9.9730,9.9730,9.9730,14.9595
0.440000,1.5187,-88.9875,88.9875,1.0125,-88.9875,1.5187,0.1745,0.1163,-0.1163,0.1163,0.1163,0.1745,18.6773,12.4515,-12.4515,12.4515,12.4515,18.6773
0.444000,1.5196,-88.9870,88.9870,1.0130,-88.9870,1.5196,0.2562,0.1708,-0.1708,0.1708,0.1708,0.2562,22.1255,14.7504,-14.7504,14.7504,14.7504,22.1255
0.448000,1.5208,-88.9861,88.9861,1.0139,-88.9861,1.5208,0.3511,0.2341,-0.2341,0.2341,0.2341,0.3511,25.3104,16.8736,-16.8736,16.8736,16.8736,25.3104
0.452000,1.5224,-88.9851,88.9851,1.0149,-88.9851,1.5224,0.4583,0.3055,-0.3055,0.3055,0.3055,0.4583,28.2378,18.8252,-18.8252,18.8252,18.8252,28.2378
0.456000,1.5245,-88.9837,88.9837,1.0163,-88.9837,1.5245,0.5767,0.3845,-0.3845,0.3845,0.3845,0.5767,30.9139,20.6092,-20.6092,20.6092,20.6092,30.9139
0.460000,1.5270,-88.9820,88.9820,1.0180,-88.9820,1.5270,0.7053,0.4702,-0.4702,0.4702,0.4702,0.7053,33.3447,22.2298,-22.2298,22.2298,22.2298,33.3447
0.464000,1.5301,-88.9799,88.9799,1.0201,-88.9799,1.5301,0.8431,0.5621,-0.5621,0.5621,0.5621,0.8431,35.5362,23.6908,-23.6908,23.6908,23.6908,35.5362
0.468000,1.5338,-88.9775,88.9775,1.0225,-88.9775,1.5338,0.9893,0.6595,-0.6595,0.6595,0.6595,0.9893,37.4946,24.9964,-24.9964,24.9964,24.9964,37.4946
0.472000,1.5380,-88.9746,88.9746,1.0254,-88.9746,1.5380,1.1428,0.7619,-0.7619,0.7619,0.7619,1.1428,39.2258,26.1505,-26.1505,26.1505,26.1505,39.2258
0.476000,1.5429,-88.9714,88.9714,1.0286,-88.9714,1.5429,1.3028,0.8685,-0.8685,0.8685,0.8685,1.3028,40.7359,27.1573,-27.1573,27.1573,27.1573,40.7359
0.480000,1.5485,-88.9677,88.9677,1.0323,-88.9677,1.5485,1.4684,0.9789,-0.9789,0.9789,0.9789,1.4684,42.0310,28.0207,-28.0207,28.0207,28.0207,42.0310
0.484000,1.5547,-88.9635,88.9635,1.0365,-88.9635,1.5547,1.6388,1.0925,-1.0925,1.0925,1.0925,1.6388,43.1171,28.7447,-28.7447,28.7447,28.7447,43.1171
0.488000,1.5616,-88.9589,88.9589,1.0411,-88.9589,1.5616,1.8131,1.2087,-1.2087,1.2087,1.2087,1.8131,44.0003,29.3335,-29.3335,29.3335,29.3335,44.0003
0.492000,1.5692,-88.9539,88.9539,1.0461,-88.9539,1.5692,1.9905,1.3270,-1.3270,1.3270,1.3270,1.9905,44.6865,29.7910,-29.7910,29.7910,29.7910,44.6865
0.496000,1.5775,-88.9483,88.9483,1.0517,-88.9483,1.5775,2.1703,1.4469,-1.4469,1.4469,1.4469,2.1703,45.1820,30.1213,-30.1213,30.1213,30.1213,45.1820
0.500000,1.5866,-88.9423,88.9423,1.0577,-88.9423,1.5866,2.3517,1.5678,-1.5678,1.5678,1.5678,2.3517,45.4926,30.3284,-30.3284,30.3284,30.3284,45.4926
0.504000,1.5963,-88.9358,88.9358,1.0642,-88.9358,1.5963,2.5340,1.6893,-1.6893,1.6893,1.6893,2.5340,45.6245,30.4163,-30.4163,30.4163,30.4163,45.6245
0.508000,1.6068,-88.9288,88.9288,1.0712,-88.9288,1.6068,2.7165,1.8110,-1.8110,1.8110,1.8110,2.7165,45.5837,30.3891,-30.3891,30.3891,30.3891,45.5837
0.512000,1.6181,-88.9213,88.9213,1.0787,-88.9213,1.6181,2.8985,1.9323,-1.9323,1.9323,1.9323,2.8985,45.3763,30.2509,-30.2509,30.2509,30.2509,45.3763
0.516000,1.6300,-88.9133,88.9133,1.0867,-88.9133,1.6300,3.0793,2.0529,-2.0529,2.0529,2.0529,3.0793,45.0083,30.0055,-30.0055,30.0055,30.0055,45.0083
0.520000,1.6427,-88.9049,88.9049,1.0951,-88.9049,1.6427,3.2583,2.1722,-2.1722,2.1722,2.1722,3.2583,44.4857,29.6571,-29.6571,29.6571,29.6571,44.4857
0.524000,1.6561,-88.8959,88.8959,1.1041,-88.8959,1.6561,3.4350,2.2900,-2.2900,2.2900,2.2900,3.4350,43.8147,29.2098,-29.2098,29.2098,29.2098,43.8147
